event_id,merchant_id,customer_id,order_id,timestamp,amount,product_category,payment_method,device_type,location,payment_status,failure_reason,retry_count,checkout_duration,cart_abandoned,refund_requested,refund_status,discount_requested,discount_given,negotiation_started,negotiation_rounds,final_order_status
evt_000001,mer_elec_01,cust_1002,ord_100001,2026-07-22 11:02:29,2225.28,Consumer Electronics,Wallet,iOS,Hyderabad,SUCCESS,,0,127,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000002,mer_home_03,cust_0021,ord_100002,2026-07-22 11:05:58,2690.50,Home & Kitchen,Credit Card,iOS,Hyderabad,SUCCESS,,0,66,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000003,mer_lux_06,cust_0039,ord_100003,2026-07-22 11:17:15,16678.72,Luxury & Watches,UPI,Android,Delhi NCR,SUCCESS,,0,89,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000004,mer_fash_02,cust_0777,ord_100004,2026-07-22 11:37:27,1966.24,Fashion & Apparel,Debit Card,Android,Delhi NCR,SUCCESS,,0,123,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000005,mer_lux_06,cust_0812,ord_100005,2026-07-22 11:37:57,27219.49,Luxury & Watches,UPI,Android,Pune,SUCCESS,,0,110,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000006,mer_home_03,cust_0090,ord_100006,2026-07-22 11:44:51,2662.01,Home & Kitchen,UPI,Android,Kolkata,SUCCESS,,0,144,False,False,NONE,377.51,377.51,True,1,COMPLETED
evt_000007,mer_fitn_05,cust_0916,ord_100007,2026-07-22 12:00:39,1776.59,Fitness & Sports,UPI,MacOS,Delhi NCR,SUCCESS,,0,90,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000008,mer_lux_06,cust_0947,ord_100008,2026-07-22 12:09:58,26890.58,Luxury & Watches,Debit Card,MacOS,Mumbai,FAILED,NETWORK_ERROR,0,122,False,False,NONE,0.00,0.00,False,0,FAILED
evt_000009,mer_gadg_04,cust_0787,ord_100009,2026-07-22 12:10:21,884.82,Mobile & Accessories,Credit Card,iOS,Mumbai,ABANDONED,CHECKOUT_TIMEOUT_USER_ABANDONED,0,301,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000010,mer_gadg_04,cust_1399,ord_100010,2026-07-22 12:24:36,655.53,Mobile & Accessories,UPI,Windows,Bengaluru,SUCCESS,,0,61,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000011,mer_fitn_05,cust_1078,ord_100011,2026-07-22 12:35:19,5511.70,Fitness & Sports,UPI,iOS,Kolkata,SUCCESS,,0,66,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000012,mer_fash_02,cust_0896,ord_100012,2026-07-22 12:37:51,1443.25,Fashion & Apparel,Debit Card,Android,Kolkata,SUCCESS,,0,123,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000013,mer_home_03,cust_0003,ord_100013,2026-07-22 12:50:21,2341.86,Home & Kitchen,Net Banking,Android,Delhi NCR,SUCCESS,,0,165,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000014,mer_home_03,cust_0249,ord_100014,2026-07-22 12:57:20,2534.13,Home & Kitchen,Debit Card,MacOS,Mumbai,SUCCESS,,0,112,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000015,mer_fash_02,cust_0076,ord_100015,2026-07-22 13:16:39,2483.82,Fashion & Apparel,UPI,iOS,Bengaluru,SUCCESS,,0,143,False,False,NONE,487.83,275.06,True,1,COMPLETED
evt_000016,mer_gadg_04,cust_0916,ord_100016,2026-07-22 13:23:07,1447.15,Mobile & Accessories,Credit Card,MacOS,Delhi NCR,SUCCESS,,0,117,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000017,mer_home_03,cust_0049,ord_100017,2026-07-22 13:25:48,1731.22,Home & Kitchen,Debit Card,Android,Bengaluru,SUCCESS,,0,91,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000018,mer_fitn_05,cust_0689,ord_100018,2026-07-22 13:32:18,1500.73,Fitness & Sports,UPI,iOS,Bengaluru,SUCCESS,,0,187,False,False,NONE,120.46,120.46,True,2,COMPLETED
evt_000019,mer_elec_01,cust_0128,ord_100019,2026-07-22 13:36:11,6883.05,Consumer Electronics,UPI,Windows,Bengaluru,SUCCESS,,0,69,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000020,mer_fash_02,cust_0005,ord_100020,2026-07-22 13:51:02,2116.23,Fashion & Apparel,UPI,Android,Delhi NCR,SUCCESS,,0,80,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000021,mer_fash_02,cust_1224,ord_100021,2026-07-22 14:06:42,1758.68,Fashion & Apparel,Credit Card,Android,Pune,SUCCESS,,0,70,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000022,mer_lux_06,cust_0210,ord_100022,2026-07-22 14:20:21,19475.13,Luxury & Watches,UPI,Android,Lucknow,SUCCESS,,0,208,False,False,NONE,4143.74,2000.51,True,2,COMPLETED
evt_000023,mer_gadg_04,cust_0082,ord_100023,2026-07-22 14:35:00,477.83,Mobile & Accessories,Net Banking,Android,Mumbai,SUCCESS,,0,98,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000024,mer_gadg_04,cust_0750,ord_100024,2026-07-22 14:35:38,1231.14,Mobile & Accessories,UPI,Android,Bengaluru,SUCCESS,,0,120,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000025,mer_elec_01,cust_0255,ord_100025,2026-07-22 14:37:11,6456.26,Consumer Electronics,UPI,Android,Delhi NCR,FAILED,BANK_SERVER_DOWN,1,177,False,False,NONE,1214.53,618.17,True,1,FAILED
evt_000026,mer_fash_02,cust_0079,ord_100026,2026-07-22 14:38:44,2635.09,Fashion & Apparel,Credit Card,Windows,Ahmedabad,SUCCESS,,0,73,False,True,PROCESSED,0.00,0.00,False,0,REFUNDED
evt_000027,mer_fitn_05,cust_1301,ord_100027,2026-07-22 14:43:32,1683.90,Fitness & Sports,Credit Card,iOS,Bengaluru,ABANDONED,CHECKOUT_TIMEOUT_USER_ABANDONED,0,360,True,False,NONE,341.91,183.12,True,2,ABANDONED
evt_000028,mer_home_03,cust_0541,ord_100028,2026-07-22 14:51:12,3193.06,Home & Kitchen,Wallet,MacOS,Mumbai,SUCCESS,,0,93,False,False,NONE,159.65,0.00,True,1,COMPLETED
evt_000029,mer_elec_01,cust_1307,ord_100029,2026-07-22 15:11:41,1202.23,Consumer Electronics,Debit Card,Windows,Mumbai,SUCCESS,,0,52,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000030,mer_gadg_04,cust_0662,ord_100030,2026-07-22 15:17:01,1077.05,Mobile & Accessories,UPI,iOS,Bengaluru,ABANDONED,USER_DROPPED_AT_OTP,0,189,True,False,NONE,0.00,0.00,False,0,ABANDONED
evt_000031,mer_fash_02,cust_0188,ord_100031,2026-07-22 15:18:26,2131.84,Fashion & Apparel,UPI,MacOS,Delhi NCR,SUCCESS,,0,81,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000032,mer_elec_01,cust_0002,ord_100032,2026-07-22 15:18:54,5082.07,Consumer Electronics,Credit Card,iOS,Pune,SUCCESS,,0,89,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000033,mer_gadg_04,cust_0263,ord_100033,2026-07-22 15:48:24,651.26,Mobile & Accessories,UPI,Windows,Chennai,SUCCESS,,0,116,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000034,mer_elec_01,cust_0854,ord_100034,2026-07-22 15:50:38,2958.66,Consumer Electronics,Credit Card,Windows,Bengaluru,SUCCESS,,0,114,False,False,NONE,732.05,243.06,True,1,COMPLETED
evt_000035,mer_fash_02,cust_0004,ord_100035,2026-07-22 15:52:14,1540.51,Fashion & Apparel,Credit Card,Android,Mumbai,SUCCESS,,0,156,False,False,NONE,320.02,118.67,True,2,COMPLETED
evt_000036,mer_elec_01,cust_0589,ord_100036,2026-07-22 15:59:08,3740.38,Consumer Electronics,UPI,Windows,Mumbai,SUCCESS,,0,113,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000037,mer_fash_02,cust_0348,ord_100037,2026-07-22 16:00:11,7105.50,Fashion & Apparel,UPI,Windows,Delhi NCR,SUCCESS,,0,73,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000038,mer_gadg_04,cust_0229,ord_100038,2026-07-22 16:02:36,952.94,Mobile & Accessories,UPI,iOS,Ahmedabad,SUCCESS,,0,53,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000039,mer_home_03,cust_0347,ord_100039,2026-07-22 16:19:28,4916.33,Home & Kitchen,Debit Card,Android,Pune,SUCCESS,,0,69,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000040,mer_fash_02,cust_0090,ord_100040,2026-07-22 16:24:50,1020.70,Fashion & Apparel,UPI,Android,Kolkata,SUCCESS,,0,104,False,False,NONE,208.70,119.15,True,2,COMPLETED
evt_000041,mer_home_03,cust_0466,ord_100041,2026-07-22 16:26:09,1026.29,Home & Kitchen,UPI,MacOS,Delhi NCR,SUCCESS,,0,52,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000042,mer_fash_02,cust_0441,ord_100042,2026-07-22 16:45:25,1122.05,Fashion & Apparel,UPI,Windows,Hyderabad,SUCCESS,,0,202,False,False,NONE,145.65,145.65,True,1,COMPLETED
evt_000043,mer_fash_02,cust_0144,ord_100043,2026-07-22 16:50:32,1218.10,Fashion & Apparel,Debit Card,MacOS,Chennai,SUCCESS,,0,129,False,False,NONE,0.00,0.00,False,0,COMPLETED
evt_000044,mer_elec_01,cust_0066,ord_100044,2026-07-22 16:54:56,4112.19,Consumer Electronics,UPI,iOS,Mumbai,SUCCESS,,0,139,False,False,NONE,0.00,0.00,False,0,COMPLETED
